nm;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19
363;1,92719;1,99646;2,01324;1,96106;2,0163;2,11243;2,1701;2,2049;2,35382;2,39624;2,81555;2,99194;3,1723;3,32642;3,35693;3,43048;0,0454712;3,10303;0,105896
364;1,85242;1,87164;1,88934;1,90186;1,92139;1,99127;2,07642;2,11823;2,23602;2,31049;2,73773;2,88605;3,02612;3,21442;3,24951;3,35632;0,0500488;3,05756;0,106201
365;1,77795;1,78558;1,76666;1,7981;1,83472;1,97205;1,96198;2,00256;2,18689;2,19818;2,67517;2,78168;2,92969;3,10272;3,1604;3,21625;0,0427246;2,99438;0,10498
366;1,68854;1,73431;1,7218;1,73035;1,76331;1,83563;1,87927;1,94977;2,0459;2,14813;2,54608;2,67853;2,83203;3,02612;3,07648;3,08441;0,0424194;2,89337;0,103149
367;1,60645;1,60034;1,6098;1,60156;1,6684;1,76086;1,79718;1,87073;1,93054;2,00714;2,45361;2,59186;2,74536;2,92419;2,95044;2,9364;0,0430298;2,77618;0,100708
368;1,52283;1,54419;1,52985;1,56342;1,60278;1,64551;1,71265;1,75018;1,86829;1,93085;2,33368;2,48199;2,62085;2,80609;2,82867;2,84973;0,0448608;2,65778;0,0930786
369;1,42914;1,44897;1,47888;1,45782;1,50604;1,59088;1,63147;1,6394;1,76575;1,83899;2,24701;2,34985;2,47925;2,66541;2,66266;2,76855;0,0405884;2,58118;0,101013
370;1,39008;1,39008;1,37665;1,39832;1,41693;1,47461;1,54297;1,58905;1,67297;1,75781;2,10022;2,26898;2,40082;2,56134;2,5885;2,62054;0,0354004;2,48993;0,0878906
371;1,30096;1,29669;1,30219;1,32904;1,35468;1,39709;1,44592;1,48682;1,60797;1,64917;2,01233;2,18933;2,31445;2,46643;2,48016;2,48291;0,0387573;2,37396;0,0949097
372;1,21552;1,27197;1,22589;1,24786;1,28723;1,35468;1,39252;1,427;1,51123;1,57684;1,95221;2,099;2,21985;2,37793;2,33887;2,4115;0,0354004;2,28607;0,0900269
